2025/06/26 01:46:08 [error] 325#325: *223 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:46:08 [error] 325#325: *223 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 199#199: *1 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 199#199: *1 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:00 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /css/main.css?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 199#199: *1 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /js/main.bundle.js?v=2.12.3 HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 199#199: *1 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/apple-touch-icon.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-32x32.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 01:48:02 [error] 200#200: *4 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /images/favicons/favicon-16x16.png HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/06/26 19:12:06 [error] 196#196: *2 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /user HTTP/1.1", host: "localhost"
2025/06/26 19:12:11 [error] 196#196: *2 localhost could not be resolved (3: Host not found), client: 172.18.0.1, server: localhost, request: "GET /users HTTP/1.1", host: "localhost"
